"název","kvalita","popis"
"360 Tune Box HD","HD","Hudební HD stanice - méně známé a nové interprety, zaměření na hip hop, indie rock, populární a elektronickou hudbu. Každý měsíc 100 nových videoklipů."
"3sat HD","HD","Německý veřejný televizní kanál bez reklam zaměřený na kulturu."
"Akvárium HD","HD",""
"Al Jazeera HD","HD","Katarská zpravodajská stanice v angličtině."
"AMC HD","HD","AMC Channel uvádí vybrané filmy ze své filmotéky."
"Animal Planet HD","HD","Americký dokumentární kanál vysílající vlastní produkci o divokých zvířatech, domácích mazlíčcích, veterinářích a podobně."
"Erste (ARD) HD","HD","Produkce regionálních německých veřejnoprávních televizí."
"Arena 1 HD","HD","Oblíbené sportovní pořady a události. MotorSport (NASCAR Xfinity), FOTBAL (anglická 2. liga Sky Bet Championship, portugalská Premiera Liga, nizozemská Eredivisie, Rakouská fotbalová Bundesliga, švýcarská Super League a čísnká Chinese Super League)."
"Arena 2 HD","HD","Oblíbené sportovní pořady a události. MotorSport (NASCAR Xfinity), FOTBAL (anglická 2. liga Sky Bet Championship, portugalská Premiera Liga, nizozemská Eredivisie, Rakouská fotbalová Bundesliga, švýcarská Super League a čísnká Chinese Super League)."
"Arte HD","HD","Veřejný francouzsko-německý televizní kanál v oblasti kultury a umění."
"Automotor Sport HD","HD","Program pro motoristy - novinky, recenze, zajímavosti ze motorového světa včetně motoristického sportu."
"AXN","SD","Stanice zaměřená především na seriály a filmy."
"Baby TV","SD","Pestrý a bezpečný svět TV zábavy pro nejmenší děti (do 3 let). Program tvořen ve spolupráci s předními psychlology, zaměřen na hru, zábavu a rozvoj dítěte, podpořen výukou angličtiny. Bez reklamním bloků v angličtině a němčině."
"Barrandov HD","HD","Zpravodajství, filmy i pořady pro děti. Rozsáhlá filmová knihovna a bohatý archiv. Základ programu budou tvořit dokumenty, interaktivní servisní pořady a filmy, se zaměřením hlavně na česko-slovenskou televizní tvorbu."
"Barrandov Krimi HD","HD","Dětský a dokumentární program. Vlastní tvorbu TV Barrandov, dále zábavné zahraniční pořady a večer se zaměřuje na dokumentární tvorbu."
"BBC News HD","HD","Britská zpravodajská stanice. Vysílá zprávy, dokumenty, životní styl a rozhovory."
"Bloomberg Europe","SD","Burzovní zpravodajství v angličtině."
"Brazzers Europe HD","HD","Hard erotický program určený pro diváky starší 18 let."
"CBS Reality","SD","Vystupují zde skuteční lidé a shlédnete opravdové příběhy. Nejsou zde žádní herci, scénáře ani senzace. Program odráží život takový, jaký je. Můžete vidět mnoho žánrů včetně záchrany a přežití, kriminalitu, příběhy o zvířatech i živelné pohromy. Schéma především zdůrazňuje hrdinství požárníků, policie a nemocničního personálu. Vysílání obsahuje kombinaci záběrů z průmyslových kamer a natáčení během akce."
"Film Europe + HD","HD","Filmová tvorba československých kanálů a evropské kino-distribuce.Ty nejkvalitnější filmy v HD rozlišení."
"Cinemax HD","HD","Americké a mezinárodní filmy, seriály z vlastní produkce Cinemaxu, dramata, komedie, akční, dobrodružné a kriminální filmy, horory, fantasy, sci-fi a historické filmy."
"Cinemax2 HD","HD","Artový program oproti hlavnímu Cinemaxu, zaměřený na evropské i mezinárodní tituly od nezávislých studií, festivalové snímky, artové počiny, inspirativní i emotivní příběhy."
"CS Film","HD","Česká a slovenská filmová tvorba - filmy starší než z počátku 90. let (filmové fondy) a pásmo věnované dětem s největšími hity české animované i hrané tvorby (původní CS MINI) ."
"ČT :D (Déčko) / ČT Art  HD","HD","Kulturní program české veřejnoprávní TV - vysílá bez reklam."
"ČT1 HD","HD","První program česká veřejnoprávní TV v HD rozlišení."
"ČT1 SM HD","HD","První program česká veřejnoprávní TV v HD rozlišení."
"ČT2 HD","HD","Druhý program české veřejnoprávní TV v HD rozlišení orientován na kulturu, vzdělávání, dokumenty a na pořady zaměřené na přírodu, historii a vědu."
"ČT24 HD","HD","Zpravodajský program české veřejnoprávní TV. Vysílá 24 hodin denně zprávy a publicistiku. Mezi 6:00 a 0:00 vysílá stanice každou půlhodinu až hodinu zpravodajskou relaci."
"ČT4 Sport HD","HD","Čtvrtý program české veřejnoprávní TV orientován na sport v HD rozlišení."
"Deluxe Music","SD","Německý hudební televizní kanál."
"DKS","HD",""
"Discovery HD","HD","Dokumentární naučný program o vědě, technice, vynálezech, dějinách i přírodě."
"Disney Channel","SD","Televizní program pro děti. Seriálové hity plné optimismu, motivace a dobrodružství, vysoká kvalita pořadů pro celou rodinu. (česky)"
"DocuBOX HD","HD","Široká škála filmů a televizních programů, které do sledování a vzdělávání zapojí diváky všech věkových kategorií ."
"EbS HD","HD","Přímé přenosy z různých významných událostí z Evropské komise (EK), Evropského parlamentu (EP), Rady Evropské unie, Evropské centrální banky a řady dalších institucí. Ve vysílání nechybí ani tiskové konference, zasedání EP a mnoho dalších materiálů. Relace jsou vysílány ve všech úředních jazycích, včetně češtiny a slovenštiny. Divák tak může získat veškeré informace o dění v EU, o schvalovaných zákonech a chystaných krocích."
"EbS+ HD","HD","Přímé přenosy z různých významných událostí z Evropské komise (EK), Evropského parlamentu (EP), Rady Evropské unie, Evropské centrální banky a řady dalších institucí. Ve vysílání nechybí ani tiskové konference, zasedání EP a mnoho dalších materiálů. Relace jsou vysílány ve všech úředních jazycích, včetně češtiny a slovenštiny. Divák tak může získat veškeré informace o dění v EU, o schvalovaných zákonech a chystaných krocích.dalších materiálů."
"EroxHD","HD","erotický kanál"
"EroxxxHD","HD","erotický kanál"
"Eurosport HD","HD","Mezi sporty na tomto sportovním kanálu dominují zejména fotbal, atletika, tenis, cyklistika, plavání, box, snooker, motoristický sport i extrémní a akční sporty."
"Eurosport 2 HD","HD","Vysílá částečně alternativní sportovní přenosy, jako Evropský basketbal, Národní lakrosovou ligu, Twenty20 cricket, Australskou fotbalovou ligu, surfing a jiné."
"Extreme Sports","SD","Extrémní sporty - vzrušující sporty: moto-X, surfing, snowboarding, skateboarding, BMX, závody na horských kolech, windsurfing, kiteboarding, drag racing, snowmobiling, in-line skating a ještě mnohem více."
"FashionBOX HD","HD","Pořady o módě a životním stylu."
"Fast&FunBox HD","HD","Lifestylový sportovní kanál nabízející pořady nabité adrenalinem, směs extrémních sportů od motokrosu, snowboardingu a skateboardingu, velké množství disciplín a soutěží z celého světa."
"FightBox HD","HD","Stanice zaměřená na bojové sporty."
"Film Europe HD","HD","Stanice přináší do středoevropského regionu nejzajímavější filmy téměř z 50 zemí evropského kontinentu, oceněné na mezinárodních filmových festivalech i domácími filmovými cenami, se špičkovými režisérskými a hereckými osobnostmi. Program vysílá v původním znění s titulky, bez reklam."
"Film+ HD","HD","Filmový kanál americké a evropské kinematografie pro celou rodinu. Přináší širokou paletu filmů všech žánrů a neustále obnovuje obsahovou stránku o exkluzívní televizní premiéry dobře známých a úspěšných kino titulů."
"Filmbox HD","HD","Zábava pro všechny: stovky premiér ročně i osvědčené klasiky, od velkých akčních filmů až po nezávislé evropské snímky."
"Filmbox Extra HD","HD","Užijte si exkluzivní televizní premiéry filmů slavných hollywoodských studií v HD kvalitě. Kanál pro náročné diváky s vynikající kvalitou obrazu a zvuku."
"Filmbox Premium HD","HD","Hollywoodské trháky s nejpopulárnějšími hvězdami krátce po premiéře v kinech. Pravý požitek pro milovníky premiér všech žánrů."
"Filmbox Family","SD","Zážitek pro celou rodinu s kvalitními snímky pro rodiče a děti: animovaná tvorba, populární seriály, zábavné komedie a rodinné filmy."
"Filmbox Stars HD","HD","Nekonečná zásoba pečlivě vybraných dramat, krimi thrillerů, ale i komedií, rodinných filmů, romancí a televizních seriálů."
"Filmbox Arthouse","SD","První filmový kanál, který přináší artovou a nezávislou tvorbu z celého světa, včetně novinek z renomovaných festivalů."
"Fishing&Hunting","HD","Špičkové dokumentární filmy věnované rybářským a loveckým oblastem z celého světa po celých 24 hodiny denně 7 dní v týdnu. 60 procent vysílacího času bude věnováno pořadům o rybaření a zbývající čas (40%) obsahu o lovu."
"Focus","HD","Zpravodajsko-informační televizní program (pro Kadaň a Klášterec nad Ohří)."
"Food Network HD","HD","Kanál, který se věnuje gastronomii. Orientuje se na vaření a požitky z dobrého jídla."
"France24 HD EN","HD","Francouzská zpravodajská stanice."
"Golf Channel HD","HD","Kanál věnovaný exkluzivně golfu, 24 hodin denně, 7 dní v týdnu."
"GRAPE","HD","Infokanál společnosti GRAPE SC ....najdete zde např. návod jak používat set-top-box Arris 1113 aj."
"HBO HD","HD","Hollywoodské a české celovečerní filmy uváděné krátce po kino-premiérách."
"HBO2 HD","HD","Stanice pro celou rodinu. V hlavním vysílacím čase přináší komediální anebo animované dětské filmy a seriály. Noční vysílání patří těžším žánrům jako jsou thrillery, dramata a horory."
"HBO3 HD","HD","Současné seriálová tvorba a kultovní snímky z originální produkce HBO. Humorem prošpikované filmy a seriály, originální show s proslavenými baviči, komediální série z produkce HBO a speciály."
"History Channel","HD","Pořady o historii - faktograficé i zábavné seriály, speciály a dokumenty. Divák ve vysílání najde pořady o dějinách starověku, moderních dějinách, vojenské historii a dějiny konfliktů, techniky nebo dopravy."
"Hobby TV HD","HD","Stanice přenese dílnu, zahradu, či garáž až k divákům na obrazovku a dá expertní rady, tipy a triky pro všechny kutily."
"Infokanál (Štětí)","HD","Infokanál z Litoměřic a okolí."
"ID Investigation Discovery HD","HD","Dokumentární program Investigation Discovery zaměřený na skutečné kriminální příběhy většinou násilné povahy."
"Jim Jam","SD","Program pro děti předškolního věku od 1 roku do 6 let. Všem zvídavým a hravým dětem přináší nejslavnější a nejoblíbenější dětské seriály a postavičky, jako jsou například Tomáš a přátelé, Bořek Stavitel, Požárník Sam nebo Barney a přátelé."
"JOJ Family HD","HD","Vlastní dramatická a zábavní tvorba z TV JOJ. Mimo té vysílá i staré české filmy a seriály nebo další zahraniční tvorbu. Vysílá 14 až 24 hodiny denně v českém jazyce."
"KiKA HD","HD","Německá dětská televizní stanice."
"Kino Barrandov HD","HD","Premiéry a reprízy převážně filmů a seriálů, zejména zahraniční provenience různého žánrového zaměření, například romantických, historických, rodinných, dále i trillerů a krimifilmů se skutečnými příběhy, sci-fi, filmy katastrofické, westerny a válečné, komedie a dramata. V nočních hodinách jsou zařazovány erotické pořady a horory."
"CS Mystery","HD","Svět záhad a paranormálních jevů, svět válek i zločinů, ale i konspirací a alternativní historie. Cestování světem i vesmírem, objevování nečekaných, ale o to zajímavějších událostí, příběhů a skrytých tajemství."
"Klínovec CAM1","HD",""
"Klínovec CAM2","HD",""
"Klínovec CAM3","HD",""
"Klínovec CAM4","HD",""
"Krb","HD",""
"Markíza Intern. HD","HD","Soukromá slovenská televizní stanice."
"Cartoon Network","HD","Dětský kanál, který přináší ty nejlepší zábavné a dobrodružné seriály, propaguje hodnotu přátelství a podporuje představivost svého hlavního publika – chlapců a dívek mezi 6 až 12 lety."
"Minimax","SD","České a zahraniční kreslené příběhy pro děti a dospělé."
"Mňam TV HD","HD","Televizní program o vaření a životním stylu. Primárně se zaměřuje na vaření a zdravý životní styl s předními profesionály a osobnostmi. Kromě kulinářských show se chystají i diskusní pořady a vlastní reality show."
"Mňau TV HD","HD","Pořady ze světa zvířat a domácích mazlíčků. Vysílá 24 hodin denně videa se zvířaty a teleshopping."
"MTV Europe","SD","Hudební kanál."
"NASA TV HD","HD","Kanál Public Channel - přímé přenosy z kosmických misí, záznamy, rozhovory klidně i s astronauty ve vesmíru."
"Nasa TV UHD","UHD",""
"National Geographic HD","HD","Moderní pohled na vědu, techniku, přírodu, historii a aktuální společenská témata. (v češtině)"
"NatGeo Wild HD","HD","Neobyčejná setkání člověka s divokou přírodou, fascinující detailní záběry ze světa zvířat pro celou rodinu. Bez reklamních bloků. (v angličtině)"
"Zrušeno NetViet","SD","Stanice pro vietnamské spoluobčany, kteří se nacházejí v zahraničí. Vysílá mix různých pořadů - od zpravodajství, kultury, dokumentů, zábavy a filmů z Vietnamu."
"Nickelodeon","SD","Program pro děti - vysílání se soustřeďuje především na děti ve věku 2 až 14 let. Vysílání překvapujícího, hravého a vtipného obsahu s troufalým a moderním přístupem. Vychází z filozofie ""děti první"" a nabízí rozmanité pořady, které inspirují, zabaví a poučí."
"Nova HD","HD","Česká soukromá TV stanice v HD rozlišení."
"Nova FUN HD","HD","Zábava a komedie."
"Nova Action HD","HD","Akční, kriminální či sci-fi filmy, seriály a sport."
"Nova Cinema HD","HD","Zahraniční filmy a seriály."
"Nova Gold HD","HD","Archiv televize Nova."
"Nova Sport 1 HD","HD","Český prémiový sportovní televizní kanál. Vysílá běžné sporty a vysoce kvalitní sportovní akce, vlastní cenná práva na vysílací licence pro hlavní sportovní ligy a události včetně národní hokejové ligy (NHL), tenisových turnajů ATP a moto GP, ale i Wimbledon a zápasy UEFA Europa League."
"Nova Sport 2 HD","HD","Sportovní události, které získaly obrovskou popularitu, zejména v zahraničí, a které v České republice dosud nebyly v podobném rozsahu vysílány, včetně Národní basketbalové asociace (NBA), Světových šipkových turnajů, ligy bojovníků UFC , a také mezinárodní rugby. Vysílá také i Wimbledon a zápasy UEFA Europa League."
"Óčko HD","HD","Hudební videoklipy, přes den aktuální domácí i zahraniční populární hudba, večer starší písně. Stanice dává prostor i menšinovým hudebním žánrům a součástí vysílání jsou také přímé přenosy či záznamy koncertů a hitparády. Televize Óčko také každoročně vyhlašuje výroční Hudební ceny Óčka."
"Óčko Star HD","HD","Největší hity od 60. až do 90. let. Domácí i světové hity, časem prověřené skladby. Nezapomenutelné desky, velká jména jako Tina Turner, ABBA, Bon Jovi a další zlaté hity."
"OKplus HD","HD","televize pro žatecký region - zpravodajství a kulturní dění"
"OKO1 HD","HD","Klášterecký zpravodajsko-informační televizní program (Klášterec nad Ohří)."
"Paprika TV","SD","Kulinářská televizní stanice. Vedle vaření v kuchyni představuje kanál ve svých pořadech divákům také malé hospůdky, restaurace a hotely v našem regionu. Mezi nejsledovanější patří pořady s šéfkuchařem Jamiem Oliverem."
"Praha TV","HD","Zpravodajství, kultura, sport, videotext, upoutávky, dokumenty, reklama, sponzoring, teleshopping."
"Prima HD","HD","Rodinný televizní program v HD rozlišení."
"Paramount Network","HD","Parádní zábava pro celou rodinu - skvělé filmové tráhky i oblíbené a vzrušující seriály mnoha různých žánrů navazující na kanál Prima Comedy Central."
"Prima Cool HD","HD","Premiéry amerických seriálů. Vysílané filmy jsou na rozdíl od seriálů často starší a méně známé. Vysílá i některé zahraniční reality show, ale i původní vlastní pořady."
"Prima MAX HD","HD","Vysílá dramatickou mimoevropskou tvorbu, zejména severoamerické provenience. Obsah: filmy, seriály, různé formáty reality show."
"Prima Krimi HD","HD","Program pro milovníky detektivních filmů a seriálů."
"Prima Love HD","HD","Program zaměřený na dramatickou tvorbu, zejména mimoevropskou provenienci. Seriály, filmy, zábavné pořady a reality show."
"Prima ZOOM HD","HD","Dokumentárně vzdělávací televizní kanál. Sedm tematických bloků je pevně ukotveno od pondělí do neděle v premiérách od 20.00 do 23.00 hod. se zaměřením na: Největší katastrofy, Po stopách historie, Fascinující příroda, Zaostřeno na války, Úžasné oceány, Zázraky říše zvířat, Tajemství Země a vesmíru."
"Rakovník kamera","SD",""
"Rebel","SD","Hudební (především rockové) klipy, zprávy z rocku i motoristický magazín."
"Šlágr Premium HD","HD",""
"A11","SD","Regionální a lokální tv zpravodajství s propagací turisticky atraktivních míst a akcí v jednotlivých oblastech ČR. V současné době spolupracuje s více než stovkou lokálních, regionálních a internetových televizí."
"Reg..tele.. Ústecka (TV Litoměřicka)","HD","Litoměřická regionální TV."
"Relax","SD","Rockové videoklipy, vlastní pořady a lokální zpravodajství regionálních partnerů."
"Retro Music TV","SD","Hudební produkce od počátku 60. do první poloviny 90. let dvacátého století (horní hranice se s časem přiměřeně posouvá) s důrazem na českou a slovenskou archivní produkci. Střední proud popu a rocku."
"SeznamTV HD","HD","Informačně-zábavná televize, živé zpravodajské relace, interaktivní tématická studia, premiéry publicistických pořadů, vybraný obsah ze Stream.cz, publicistiku, životní styl, zábavu a obsahové promo služeb Seznamu."
"CNN","SD","Americký zpravodajský kanál."
"Spektrum HD","HD","Populárně-vědecké programy orientované jak na společnost, civilizaci historii a přírodu, tak na cestování, či problémy rodinného života. Stanice nabízí nejen množství programů zakoupených od mezinárodních distributorů, ale klade důraz i na vlastní produkci."
